landon@el304b:~/cex_permute$ make; make test; prism -importmodel buildModel.tra,sta,lab -ctmc scripts/pro.csl
(javac -classpath "/usr/local/prism-src/prism/classes:/usr/local/prism-src/prism/lib/*:/usr/local/prism-src/prism/prism/classes:/usr/local/prism-src/prism/prism/lib/*" -d classes src/./BuildModel.java)
PRISM_DIR=/usr/local/prism-src/prism PRISM_MAINCLASS=simulate.BuildModel bin/run
bin/run: 21: [[: not found
Welcome to the model commutation tool.
Prism model loaded succesfully.
^[[BProcessed 1700 paths with a state count of 5214
Processed 1710 paths with a state count of 5214
Processed 1720 paths with a state count of 5214
Processed 1730 paths with a state count of 5214
Processed 1740 paths with a state count of 5214
Processed 1750 paths with a state count of 5214
Processed 1760 paths with a state count of 5214
Processed 1770 paths with a state count of 5214
Processed 1780 paths with a state count of 5214
Processed 1790 paths with a state count of 5214
Processed 1800 paths with a state count of 5214
Processed 1810 paths with a state count of 5214
Processed 1820 paths with a state count of 5214
Processed 1830 paths with a state count of 5214
Processed 1840 paths with a state count of 5214
Processed 1850 paths with a state count of 5214
Processed 1860 paths with a state count of 5214
Processed 1870 paths with a state count of 5214
Processed 1880 paths with a state count of 5214
Processed 1890 paths with a state count of 5214
Processed 1900 paths with a state count of 5214
Processed 1910 paths with a state count of 5214
Processed 1920 paths with a state count of 5214
Processed 1930 paths with a state count of 5214
Processed 1940 paths with a state count of 5214
Processed 1950 paths with a state count of 5226
Processed 1960 paths with a state count of 5226
Processed 1970 paths with a state count of 5226
Processed 1980 paths with a state count of 5226
Processed 1990 paths with a state count of 5226
Processed 2000 paths with a state count of 5226
Processed 2010 paths with a state count of 5226
Processed 2020 paths with a state count of 5226
Processed 2030 paths with a state count of 5226
Processed 2040 paths with a state count of 5226
Processed 2050 paths with a state count of 5226
Processed 2060 paths with a state count of 5226
Processed 2070 paths with a state count of 5226
Processed 2080 paths with a state count of 5226
Processed 2090 paths with a state count of 5226
Processed 2100 paths with a state count of 5226
Processed 2110 paths with a state count of 5226
Processed 2120 paths with a state count of 5226
Processed 2130 paths with a state count of 5226
Processed 2140 paths with a state count of 5226
Processed 2150 paths with a state count of 5226
Processed 2160 paths with a state count of 5226
Processed 2170 paths with a state count of 5231
Processed 2180 paths with a state count of 5231
Processed 2190 paths with a state count of 5231
Processed 2200 paths with a state count of 5246
Processed 2210 paths with a state count of 5246
Processed 2220 paths with a state count of 5246
